,name,url,country
22,NAF,/stats/players/8520/naf?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Canada
23,syrsoN,/stats/players/7266/syrson?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Germany
24,electronic,/stats/players/8918/electronic?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Russia
25,KSCERATO,/stats/players/15631/kscerato?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Brazil
26,XANTARES,/stats/players/7938/xantares?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Turkey
27,mantuu,/stats/players/10981/mantuu?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,United Kingdom
28,k0nfig,/stats/players/9078/k0nfig?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Denmark
29,dycha,/stats/players/16080/dycha?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Poland
30,n0rb3r7,/stats/players/16612/n0rb3r7?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Russia
31,TeSeS,/stats/players/12018/teses?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Denmark
32,slaxz-,/stats/players/15370/slaxz?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Germany
33,Rainwaker,/stats/players/17145/rainwaker?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Bulgaria
34,KEi,/stats/players/17504/kei?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Poland
35,cadiaN,/stats/players/7964/cadian?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Denmark
36,huNter-,/stats/players/3972/hunter?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Bosnia and Herzegovina
37,dupreeh,/stats/players/7398/dupreeh?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Denmark
38,dennyslaw,/stats/players/13466/dennyslaw?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Bulgaria
39,snatchie,/stats/players/9574/snatchie?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Poland
40,Krad,/stats/players/12027/krad?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Russia
41,stadodo,/stats/players/11205/stadodo?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Portugal
42,Forester,/stats/players/13982/forester?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Russia
43,frozen,/stats/players/9960/frozen?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Slovakia
44,jks,/stats/players/4679/jks?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Australia
45,niko,/stats/players/10264/niko?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Denmark
46,F1KU,/stats/players/19044/f1ku?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Poland
47,Magisk,/stats/players/9032/magisk?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Denmark
48,poizon,/stats/players/12126/poizon?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Bulgaria
49,tabseN,/stats/players/5794/tabsen?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Germany
50,CRUC1AL,/stats/players/7996/cruc1al?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Netherlands
51,sdy,/stats/players/12731/sdy?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Ukraine
52,shox,/stats/players/1225/shox?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,France
53,Lack1,/stats/players/13240/lack1?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Kazakhstan
54,mou,/stats/players/964/mou?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Kazakhstan
55,arT,/stats/players/12521/art?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Brazil
56,kressy,/stats/players/12782/kressy?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Germany
57,ISSAA,/stats/players/10449/issaa?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Jordan
58,mar,/stats/players/13464/mar?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Bulgaria
59,magixx,/stats/players/18317/magixx?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Russia
60,Kylar,/stats/players/19114/kylar?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Poland
61,Qikert,/stats/players/13239/qikert?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Kazakhstan
62,NickelBack,/stats/players/11498/nickelback?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Russia
63,mopoz,/stats/players/9254/mopoz?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Spain
64,Nodios,/stats/players/8891/nodios?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Denmark
65,MUTiRiS,/stats/players/630/mutiris?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Portugal
66,Jerry,/stats/players/13157/jerry?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Russia
67,JUST,/stats/players/8998/just?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Portugal
68,Aleksib,/stats/players/9816/aleksib?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Finland
69,nafany,/stats/players/16921/nafany?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Russia
70,mynio,/stats/players/4829/mynio?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Poland
71,chopper,/stats/players/7716/chopper?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Russia
72,Jyo,/stats/players/12269/jyo?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Estonia
73,nexa,/stats/players/9618/nexa?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Serbia
74,shokz,/stats/players/16859/shokz?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Estonia
75,alex,/stats/players/8371/alex?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Spain
76,speed4k,/stats/players/13155/speed4k?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Russia
77,Perfecto,/stats/players/16947/perfecto?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Russia
78,AcilioN,/stats/players/8151/acilion?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Denmark
79,ProbLeM,/stats/players/16870/problem?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Russia
80,Surreal,/stats/players/9019/surreal?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,United Kingdom
81,JIaYm,/stats/players/19232/jiaym?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Russia
82,almazer,/stats/players/11654/almazer?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Russia
83,robiin,/stats/players/7700/robiin?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Sweden
84,NBK-,/stats/players/7168/nbk?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,France
85,apEX,/stats/players/7322/apex?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,France
86,kalinka,/stats/players/9410/kalinka?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Lithuania
87,RpK,/stats/players/7169/rpk?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,France
88,Spiidi,/stats/players/7499/spiidi?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Germany
89,Bymas,/stats/players/19015/bymas?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Lithuania
90,boX,/stats/players/13976/box?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Belarus
91,VINI,/stats/players/12822/vini?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Brazil
92,Furlan,/stats/players/8327/furlan?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Poland
93,Keoz,/stats/players/15117/keoz?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Belgium
94,mds,/stats/players/11926/mds?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Belarus
95,Stewie2K,/stats/players/8797/stewie2k?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,United States
96,misutaaa,/stats/players/14176/misutaaa?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,France
97,denis,/stats/players/7511/denis?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Germany
98,rmn,/stats/players/2241/rmn?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Portugal
99,tiziaN,/stats/players/5796/tizian?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Germany
100,facecrack,/stats/players/8726/facecrack?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Russia
101,oxygeN,/stats/players/18697/oxygen?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Bulgaria
102,k1to,/stats/players/12781/k1to?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Germany
103,interz,/stats/players/15071/interz?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Russia
104,AmaNEk,/stats/players/9616/amanek?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,France
105,Boombl4,/stats/players/11840/boombl4?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Russia
106,neaLaN,/stats/players/11940/nealan?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Kazakhstan
107,Duplicate,/stats/players/16410/duplicate?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Bulgaria
108,Flarich,/stats/players/11250/flarich?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Latvia
109,b0RUP,/stats/players/9896/b0rup?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Denmark
110,SANJI,/stats/players/11716/sanji?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Uzbekistan
111,arki,/stats/players/356/arki?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Spain
112,RUSH,/stats/players/7805/rush?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,United States
113,steel,/stats/players/7382/steel?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Brazil
114,MiGHTYMAX,/stats/players/8983/mightymax?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,United Kingdom
